Benchmark,Architecture,Association,CacheLineSize,Cycles,Instructions,DCacheMissRate,ICacheMissRate,DCacheMissCycles,ICacheMissCycles,CPI,CycleDiffAssoc,CycleDiffLn
susan,X86,1,16,1099329646,370373330,0.003888,5E-06,17582783500,138216500,2.968166326,-0.09321788239,0
susan,X86,1,32,1105022572,370373330,0.004495,3E-06,21009979000,87191500,2.983537103,-0.08852207207,-0.01858727186
susan,X86,1,64,1125950928,370373330,0.006922,2E-06,31977129000,57800500,3.040043213,-0.0712593165,0.01893930181
susan,X86,1,128,1184805670,370373330,0.012046,1E-06,61811930000,45504000,3.198949746,-0.02289357437,0
