Benchmark,Architecture,Association,CacheLineSize,Cycles,Instructions,DCacheMissRate,ICacheMissRate,DCacheMissCycles,ICacheMissCycles,CPI,CycleDiffAssoc,CycleDiffLn
CRC32,X86,1,16,1988790056,585939090,0.002789,5E-06,30497323000,187353000,3.394192485,0.1825630074,0
CRC32,X86,1,32,2007955404,585939090,0.003928,3E-06,36510201000,123546500,3.426901257,0.1939589974,-0.03097588076
CRC32,X86,1,64,2072141822,585939090,0.007038,2E-06,59725501000,82154000,3.53644578,0.2321251594,0.03196605755
CRC32,X86,1,128,2245186430,585939090,0.013567,2E-06,122309606000,71329000,3.831774443,0.3350199579,0.1669255522
