bp_type,system.cpu.numCycles,sim_insts,sim_seconds,system.cpu.dcache.overall_miss_rate::total,system.cpu.commit.branchMispredicts,system.cpu.commit.branches
BiModeBP,593005180,665779085,0.296503,0.000328,4297,133168908
TAGE,592954985,665779085,0.296477,0.000328,3958,133168908
TAGE_SC_L_8KB,592955379,665779085,0.296478,0.000328,3944,133168908
TAGE_SC_L_64KB,592938475,665779085,0.296469,0.000328,3949,133168908
MultiperspectivePerceptron8KB,593029801,665779085,0.296515,0.000329,5104,133168908
MultiperspectivePerceptron64KB,594992685,665779085,0.297496,0.000367,13262030,133168908
