bp_type,system.cpu.numCycles,sim_insts,sim_seconds,system.cpu.dcache.overall_miss_rate::total,system.cpu.commit.branchMispredicts,system.cpu.commit.branches
BiModeBP,374450195,719021518,0.187225,0.000236,4921,133165845
TAGE,374449623,719021518,0.187225,0.000236,4711,133165845
TAGE_SC_L_8KB,374449359,719021518,0.187225,0.000236,4661,133165845
TAGE_SC_L_64KB,374449021,719021518,0.187225,0.000236,4677,133165845
MultiperspectivePerceptron8KB,374450263,719021518,0.187225,0.000236,4717,133165845
MultiperspectivePerceptron64KB,411307277,719021518,0.205654,0.000205,3532347,133165845
