bp_type,system.cpu.numCycles,sim_insts,sim_seconds,system.cpu.dcache.overall_miss_rate::total,system.cpu.commit.branchMispredicts,system.cpu.commit.branches
BiModeBP,120370010,249571591,0.060185,0.000754,1811546,27942399
TAGE,107028288,249571591,0.053514,0.000790,145406,27942399
TAGE_SC_L_8KB,105879652,249571591,0.052940,0.000786,41406,27942399
TAGE_SC_L_64KB,121743704,249571591,0.060872,0.000757,1593555,27942399
MultiperspectivePerceptron8KB,131520892,249571591,0.065760,0.000737,3046541,27942399
MultiperspectivePerceptron64KB,139848222,249571591,0.069924,0.000691,3476263,27942399
