Benchmark,Associativity,Miss Rate,MissPercent
susan,1,0.00683775,0.683775
susan,2,0.0002625,0.02625
susan,4,0.00022575,0.022575
susan,8,0.00022325,0.022325
susan,16,0.00022325,0.022325
susan,32,0.00022375,0.022375
susan,64,0.00022425,0.022425
